;0
554;Julie Sue
544;Julie Sue,Chi Tian Zhe Ye,chang Yong Fu
536;Julie Sue,虞戡平
564;Julio Chaidez
842;Junichi Sakamoto
901;Junior H
75;K Mullick
335;K. Frimpong
937;KAYTRANADA,Kali Uchis
464;KISS
890;Kailee Morgue
72;Kakkia Mendri,Lidia Likiardopoulou
8;Kalyani,Kantilal
22;Kamala Jharia
514;Kanchan,Amit Kumar
800;Kanye West,JAY-Z
704;Karen Mok
684;Karen Mok,張洪量
615;Kavita Krishnamurthy,Shreya Ghoshal,KK
796;Kay Tse
652;Keaton Henson
980;Kehlani
447;Keith
446;Keith Sweat
368;Kenny Rogers
638;Keola Beamer
558;Kevon Edmonds
964;Khruangbin,Leon Bridges
898;Kid Trunks,XXXTENTACION
944;King Princess
771;Kings of Leon
499;Kirk Franklin,Shirley Caesar
734;Kit Chan
596;Koko Taylor
665;Korn
119;Kostas Roukounas,I. Dragatsis,Klarino
124;Kostas Skafidas
641;Kottonmouth Kings
781;Krishna Das
198;Krontjong Ensemble Pantja Warna
123;L. Royvas
933;LANY
906;LAY
466;LL Cool J
680;LL Cool J,Method Man,Redman,DMX,Cannibus
199;La Playa Sextet
179;La Sonora Matancera,Celia Cruz
870;La Sonora Santanera
839;LaLa Hsu
275;LaVern Baker
992;Lady Gaga
112;Lallubhai,Bhikhu
731;Landy Wen,Jay Chou
156;Las Atlixqueñas
413;Las Chicas Del Can
3;Lata Mangeshkar
24;Lata Mangeshkar,C. Ramchandra
252;Laura Nyro
96;Lead Belly
759;Leehom Wang
509;Leon Lai
353;Leon Russell
32;Leroy Carr
427;Leslie Cheung
142;Lester Young
914;Lil Darkie
885;Lil Durk
977;Lil Tjay
894;Lil Uzi Vert
681;Lil Wayne
920;Lil Yachty,Trippie Redd
748;Lin-Manuel Miranda,Christopher Jackson,Robin de Jesus,Seth Stewart,Janet Dacal,Andrea Burns
591;Link Wray
458;Linton Kwesi Johnson
840;Little Feat
960;Lloyd,Lil Wayne
991;Logic,Alessia Cara,Khalid
911;Loote,gnash
113;Lord Melody
322;Los Indios Tabajaras
158;Los Panchos
373;Los Rebeldes Del Bravo
674;Los Socios Del Ritmo
242;Los Teen Tops
196;Lou Monte
222;Louis Armstrong,Sy Oliver Choir,The Allstars
192;Louis Prima,Keely Smith
160;Louise Bogan
130;Lowell Fulson
444;Lowell Lo,劉天蘭
772;Lucio Dalla
663;Lucy Pearl,Snoop Dogg,Q-Tip
91;Luigi Cherubini,Arturo Toscanini
95;Luis Rovira y su Orquesta
25;M. Hershman
51;M. K. Thyagaraja Bhagavathar
568;MF DOOM
210;MGM Studio Orchestra,MGM Studio Chorus
945;Mac Miller
979;Mac Miller,Anderson .Paak
904;Machine Gun Kelly
551;Major Lazer,Vybz Kartel
47;Manabendra Mukherjee
342;Manfred Mann
42;Mangala Narwekar,Vinod Kumar
360;Margo Guryan
574;Marilyn Manson
496;Marino
102;Markos Vamvakaris
597;Marlene Dietrich
356;Marmalade
48;Martha Schlamme
170;Martin Denny
513;Marvin Gaye
131;Maryline Garcia & Christophe da Silva
714;Matchbox Twenty
31;Maurice Chevalier
636;Mavis Hee
169;Max Roach
776;Maxime Le Forestier
68;Maya Basu
788;Mayday
6;Mayukh Hazarika
167;Merle Travis
26;Mestizo musicians of Jauja with bass and flutes
612;Metalocalypse: Dethklok
770;Michael Jackson
765;Michael Wong
823;Mika Singh,Shefali Alvares
955;Mike WiLL Made-It,Miley Cyrus,Wiz Khalifa,Juicy J
165;Miles Davis
868;Milo Greene
53;Mina
700;Miriam Yeung
401;Misfits,Glenn Danzig
371;Mitch Ryder and The Detroit Wheels
76;Mixalis Thomakos
412;Moby Grape
546;Modern Talking
557;Modest Mouse
78;Mohammed Abdel Wahab
150;Mohammed Rafi
918;Money Man
393;Monifah
789;Morgan Wallen
843;Moses Gunn Collective
581;Motörhead
826;Mr. C
549;Mudvayne
122;Mukesh,Shamshad Begum
355;Mulatu Astatke
463;Mushroomhead
472;Musiq Soulchild
481;Mustard Plug
930;My Chemical Romance
989;Myke Towers,Farruko,Arcangel,Sech,Zion
987;NF
27;NNN
70;Narayan Dutt
595;Nas
56;Naseem Bano
302;Nat King Cole
872;Natanael Cano
719;Nelly
208;Nelson Riddle
752;Neon Trees
762;Nicki Minaj
808;Nightmares On Wax
18;Nikolai Rimsky-Korsakov,Vitya Vronsky,Victor Babin
790;Nils Frahm
291;Nina Simone
106;Octavio Corvalan
184;Oliver Nelson,Eric Dolphy
793;Ollie
988;One Direction
370;Orange Juice
344;Otis Day & The Knights
312;Otis Redding
863;Our Last Night
480;OutKast
383;P.E.P.E.
432;Pajama Party
323;Paloma San Basilio
101;Pankaj Mullick
865;Paramore
452;Pat Metheny Group
559;Paul Brown
692;Paul Hardcastle
470;Paul Hertzog
168;Paul Page,The Island-Aires,Paradise Music
379;Paul Simon
145;Paul Whiteman & His Orchestra,Bix Beiderbecke
367;Paula Tsui
110;Pearl Bailey
661;Pecos
